date,home_team,away_team,home_win_rate,away_win_rate,home_goals_avg,away_goals_avg,home_conceded_avg,away_conceded_avg,h2h_home_wins,matches_played_diff,label
1958-06-08,Austria,Brazil,0.6666666666666666,0.6,2.6666666666666665,3.4,2.111111111111111,1.3,0.5,-8,0
1958-06-08,France,Paraguay,0.375,0.25,1.625,0.75,1.625,1.75,0.5,4,1
1958-06-08,Sweden,Mexico,0.4,0.0,2.6,1.0,2.8,3.875,0.5,2,1
1958-06-11,France,Yugoslavia,0.4444444444444444,0.5,2.2222222222222223,1.7,1.7777777777777777,1.4,0.0,-1,0
1958-06-11,Paraguay,Scotland,0.2,0.0,1.2,0.3333333333333333,2.8,3.0,0.5,2,1
1958-06-12,Sweden,Hungary,0.4,0.7,2.6,4.3,2.6,1.6,1.0,-1,1
1958-06-15,Argentina,Czechoslovakia,0.625,0.3,3.0,1.4,2.0,1.8,0.5,-3,0
1958-06-15,France,Scotland,0.4,0.0,2.2,0.75,1.9,3.0,0.5,6,1
1958-06-15,Hungary,Mexico,0.6,0.0,3.8,0.9,1.8,3.5,0.5,3,1
1958-06-17,Czechoslovakia,Northern Ireland,0.3,0.3333333333333333,1.7,1.3333333333333333,1.7,1.6666666666666667,0.0,9,0
1958-06-17,England,Russia,0.2222222222222222,0.3333333333333333,1.5555555555555556,1.3333333333333333,1.5555555555555556,1.3333333333333333,0.0,6,0
1958-06-17,Hungary,Wales,0.6,0.0,4.0,0.6666666666666666,1.8,0.6666666666666666,0.0,11,0
1958-06-19,Brazil,Wales,0.6,0.25,2.9,1.0,0.9,0.75,0.5,16,1
1958-06-19,France,Northern Ireland,0.4,0.5,2.0,1.5,1.9,1.5,0.5,7,1
1958-06-19,Germany,Yugoslavia,0.6,0.4,3.4,1.7,2.3,1.8,1.0,3,1
1958-06-19,Sweden,Russia,0.4,0.5,1.9,1.25,2.5,1.0,0.5,9,1
1958-06-24,Brazil,France,0.6,0.5,2.8,2.4,0.9,1.8,0.5,9,1
1958-06-24,Sweden,Germany,0.5,0.7,2.0,3.3,2.0,1.9,1.0,-2,1
1958-06-28,France,Germany,0.5,0.6,2.6,3.0,2.2,2.1,0.5,-4,1
1958-06-29,Sweden,Brazil,0.6,0.6,2.1,2.6,1.7,1.0,1.0,-7,0
1962-05-30,Brazil,Mexico,0.6,0.0,2.5,0.8,1.1,3.5,1.0,12,1
1962-05-30,Chile,Switzerland,0.5,0.4,1.6666666666666667,2.0,1.5,2.2,0.5,-6,1
1962-05-31,Czechoslovakia,Spain,0.2,0.4444444444444444,1.5,1.5555555555555556,1.8,1.6666666666666667,0.5,4,1
1962-05-31,England,Hungary,0.2,0.5,1.4,3.6,1.5,1.9,0.5,-5,0
1962-05-31,Russia,Yugoslavia,0.4,0.4,1.0,1.6,1.2,1.3,0.5,-8,1
1962-06-02,Argentina,England,0.6,0.1,2.6,1.3,2.2,1.7,0.5,-1,0
1962-06-02,Chile,Italy,0.5714285714285714,0.6,1.8571428571428572,2.1,1.4285714285714286,1.5,0.5,-8,1
1962-06-02,Uruguay,Yugoslavia,0.7,0.3,3.3,1.3,1.5,1.5,1.0,0,0
1962-06-03,Germany,Switzerland,0.5,0.4,2.3,2.0,1.7,2.4,0.0,6,1
1962-06-03,Mexico,Spain,0.0,0.4,0.8,1.4,3.4,1.6,0.5,2,0
1962-06-06,Brazil,Spain,0.6,0.4,2.1,1.2,0.9,1.5,0.5,14,1
1962-06-06,Chile,Germany,0.625,0.5,1.875,2.3,1.25,1.8,0.5,-12,0
1962-06-06,Russia,Uruguay,0.42857142857142855,0.6,1.5714285714285714,2.6,1.4285714285714286,1.8,0.5,-8,1
1962-06-07,Czechoslovakia,Mexico,0.2,0.0,1.2,0.5,1.6,2.9,0.5,2,0
1962-06-07,Italy,Switzerland,0.5,0.3,1.9,1.7,1.6,2.4,1.0,2,1
1962-06-10,Brazil,England,0.7,0.2,2.2,1.6,0.9,1.6,0.0,13,1
1962-06-10,Chile,Russia,0.5555555555555556,0.5,1.6666666666666667,1.625,1.3333333333333333,1.375,0.5,1,1
1962-06-10,Czechoslovakia,Hungary,0.2,0.5,1.2,2.5,1.8,1.4,0.5,-2,1
1962-06-10,Germany,Yugoslavia,0.5,0.4,1.9,1.7,1.7,1.3,1.0,5,0
1962-06-13,Chile,Brazil,0.6,0.8,1.7,2.3,1.3,0.6,0.5,-17,0
1962-06-13,Czechoslovakia,Yugoslavia,0.3,0.4,1.2,1.7,1.6,1.3,0.5,0,1
1962-06-16,Chile,Yugoslavia,0.5,0.4,1.6,1.7,1.7,1.5,0.5,-7,1
1962-06-17,Brazil,Czechoslovakia,0.8,0.4,2.4,1.5,0.8,1.5,0.3333333333333333,10,1
1966-07-12,Brazil,Bulgaria,0.9,0.0,2.7,0.3333333333333333,0.9,2.3333333333333335,0.5,26,1
1966-07-12,Germany,Switzerland,0.4,0.3,1.6,1.7,1.6,2.5,0.3333333333333333,7,1
1966-07-13,Argentina,Spain,0.4,0.4,2.0,1.2,2.2,1.6,0.5,0,1
1966-07-13,Chile,Italy,0.5,0.5,1.6,1.9,1.7,1.5,1.0,-5,0
1966-07-15,Brazil,Hungary,0.9,0.3,2.7,1.8,0.9,1.4,0.0,10,0
1966-07-15,France,Uruguay,0.5,0.5,2.8,2.2,2.2,1.6,0.5,-2,0
1966-07-15,Spain,Switzerland,0.4,0.3,1.3,1.7,1.7,2.7,0.5,-3,1
1966-07-16,England,Mexico,0.1,0.1,1.1,0.8,1.5,2.3,0.5,0,1
1966-07-16,Italy,Russia,0.5,0.5,1.9,1.7,1.4,1.3,0.5,8,0
1966-07-19,Argentina,Switzerland,0.3,0.3,1.3,1.6,2.1,2.7,0.5,-3,1
1966-07-20,Bulgaria,Hungary,0.0,0.4,0.2,1.9,2.4,1.2,0.0,-16,0
1966-07-20,Chile,Russia,0.5,0.6,1.6,1.6,1.5,1.1,1.0,3,0
1966-07-20,England,France,0.2,0.5,1.1,2.8,1.1,2.1,0.5,0,1
1966-07-20,Germany,Spain,0.4,0.4,1.6,1.2,1.3,1.7,0.5,10,1
1966-07-23,England,Argentina,0.3,0.4,1.1,1.3,0.9,1.7,0.0,2,1
1966-07-23,Germany,Uruguay,0.5,0.4,1.6,2.0,1.2,1.6,0.5,6,1
1966-07-23,Hungary,Russia,0.5,0.6,2.1,1.6,1.2,1.2,0.5,10,0
1966-07-23,North Korea,Portugal,0.3333333333333333,1.0,0.6666666666666666,3.0,1.3333333333333333,0.6666666666666666,0.5,0,0
1966-07-25,Germany,Russia,0.5,0.7,1.9,1.8,1.2,1.1,0.5,13,1
1966-07-26,England,Portugal,0.4,1.0,1.2,3.5,0.9,1.25,0.5,14,1
1966-07-28,Portugal,Russia,0.8,0.6,3.0,1.8,1.4,1.3,0.5,-9,1
1966-07-30,England,Germany,0.5,0.6,1.2,2.0,0.8,1.0,0.5,-8,1
1970-06-02,England,Romania,0.6,0.2,1.6,1.6,0.9,2.4,0.5,15,1
1970-06-03,Brazil,Czechoslovakia,0.7,0.4,2.3,1.6,1.3,1.3,0.5,13,1
