date,home_team,away_team,home_win_rate,away_win_rate,home_goals_avg,away_goals_avg,home_conceded_avg,away_conceded_avg,h2h_home_wins,matches_played_diff,home_rank,away_rank,rank_diff,label
1998-06-23,Italy,Austria,0.6,0.3,1.5,0.9,0.8,0.9,0.6666666666666666,35,14.0,31.0,17.0,1
1998-06-24,France,Denmark,0.6,0.6666666666666666,2.1,2.0,0.9,1.1666666666666667,0.5,30,18.0,27.0,9.0,1
1998-06-24,Nigeria,Paraguay,0.6666666666666666,0.2,1.8333333333333333,1.3,1.0,2.0,0.5,-7,74.0,29.0,-45.0,0
1998-06-24,Spain,Bulgaria,0.4,0.3,1.8,1.0,1.3,1.4,0.5,14,15.0,35.0,20.0,1
1998-06-25,Germany,Iran,0.6,0.2,1.6,0.8,1.0,2.0,0.5,70,2.0,42.0,40.0,1
1998-06-26,Colombia,England,0.3,0.4,0.9,1.2,1.5,1.0,0.5,-31,10.0,5.0,-5.0,0
1998-06-27,Italy,Norway,0.6,0.2857142857142857,1.5,1.0,0.8,1.0,1.0,57,14.0,7.0,-7.0,1
1998-06-27,Brazil,Chile,0.7,0.0,1.7,0.9,0.6,1.6,0.0,52,1.0,9.0,8.0,1
1998-06-28,Nigeria,Denmark,0.5714285714285714,0.5714285714285714,1.7142857142857142,1.8571428571428568,1.2857142857142858,1.2857142857142858,0.5,0,74.0,27.0,-47.0,0
1998-06-28,France,Paraguay,0.7,0.3,2.1,1.6,0.7,1.9,1.0,23,18.0,29.0,11.0,1
1998-06-29,Germany,Mexico,0.6,0.4,1.7,1.4,1.0,0.9,0.5,40,2.0,4.0,2.0,1
1998-06-30,Romania,Croatia,0.5,0.6666666666666666,1.5,1.3333333333333333,1.2,0.6666666666666666,0.5,17,22.0,19.0,-3.0,0
1998-07-03,Brazil,Denmark,0.7,0.625,1.9,2.125,0.7,1.25,0.5,69,1.0,27.0,26.0,1
1998-07-04,Germany,Croatia,0.7,0.75,1.8,1.25,1.0,0.5,0.5,73,2.0,19.0,17.0,0
1998-07-04,Netherlands,Argentina,0.5,0.5,1.8,1.8,1.1,1.0,1.0,-27,25.0,6.0,-19.0,1
1998-07-08,France,Croatia,0.7,0.8,2.0,1.6,0.6,0.4,0.5,34,18.0,19.0,1.0,1
1998-07-11,Netherlands,Croatia,0.5,0.6666666666666666,1.8,1.5,1.0,0.6666666666666666,0.5,25,25.0,19.0,-6.0,0
1998-07-12,France,Brazil,0.7,0.7,1.9,1.9,0.7,0.9,0.5,-39,18.0,1.0,-17.0,1
2002-06-01,Germany,Saudi Arabia,0.6,0.2857142857142857,1.7,1.0,1.3,1.8571428571428568,0.5,71,11.0,34.0,23.0,1
2002-06-01,Uruguay,Denmark,0.1,0.5555555555555556,0.5,2.111111111111111,1.7,1.4444444444444444,1.0,28,24.0,20.0,-4.0,0
